Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.972710609436035,5.972710609436035,5.893293961011548,5.943831871358628,237536000
2020-01-03,5.877110481262207,5.920926930906408,5.8280659729825945,5.852961693799672,205384000
2020-01-06,5.901757717132568,5.906985776484988,5.757612380789321,5.783752677551418,262636000
2020-01-07,5.973208427429199,6.019016389767921,5.885077875706448,5.930138904576814,314856000
2020-01-08,5.984411716461182,6.0257385544708075,5.928894566530886,5.96897635709519,277108000
2020-01-09,6.050136089324951,6.122582464697482,5.996361626623483,6.070799508067486,255112000
2020-01-10,6.082499980926514,6.1878085769213,6.068309669696577,6.157435973615166,316296000
2020-01-13,6.2732014656066895,6.2983460126438064,6.142997129096606,6.165652530748785,319840000
2020-01-14,6.156191825866699,6.255774255425361,6.142996791879736,6.230380415366528,359088000
2020-01-15,6.113619804382324,6.191294240174743,6.087728325784851,6.168888134663605,263104000
2020-01-16,6.197269916534424,6.203244910319221,6.143744266895241,6.167146128032976,284192000
2020-01-17,6.2059831619262695,6.223908142736829,6.158432507514532,6.2164392820208025,253792000
2020-01-21,6.172623634338379,6.206232797136268,6.138516357526799,6.169387080365726,217916000
2020-01-22,6.226646423339844,6.313283116105959,6.199012256697566,6.217932990150522,239240000
2020-01-23,6.29511022567749,6.303574840526186,6.177852090026079,6.2667295962442555,244516000
2020-01-24,6.2358574867248535,6.460416175717536,6.181584910751475,6.41062472577295,373512000
2020-01-27,5.979930877685547,6.030966903927453,5.781512471732847,5.931135177198526,470536000
2020-01-28,6.173369884490967,6.205733996094914,5.992627169050778,6.0459039945234325,310976000
2020-01-29,6.1128740310668945,6.1950296022029825,6.073040580811755,6.158930819849385,258848000
2020-01-30,6.119595050811768,6.133038904613509,5.960014340885103,6.01503337904724,290504000
2020-01-31,5.886074066162109,6.085737042120204,5.84424958759745,6.073787055431306,370420000
2020-02-03,5.983166217803955,6.002584586357924,5.86167534262328,5.867899154347172,255564000
2020-02-04,6.152458190917969,6.171628221380561,6.0750330348153945,6.125073314972163,271544000
2020-02-05,6.242828369140625,6.2836570930732725,6.159427759888117,6.273449793378493,208220000
2020-02-06,6.329713344573975,6.329713344573975,6.196024131273498,6.277183933217403,218284000
2020-02-07,6.263492584228516,6.311790174409059,6.238098741538615,6.289632885662357,189752000
2020-02-10,6.5468034744262695,6.547549932994281,6.2811667910405005,6.286146030572411,529608000
